PolyInx,Kbar3,h11,h12,h13,h22,EdgeList,TriangulationEstimation,PolytopeVerices,CiGenus,CiDegreeKbar
1348,10,27,6,44,316,"[[3, 0], [4, 1], [5, 1], [5, 4], [3, 7], [6, 7], [0, 2], [2, 6], [4, 7], [3, 4], [0, 5], [1, 6], [2, 5]]",4284781184,"[[-1, -1, 0], [1, 0, 0], [-1, -1, 2], [-1, 0, -1], [1, 0, -1], [1, -1, 0], [-1, 2, 2], [-1, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 2, 2, 1, 1]"
1350,10,23,2,44,308,"[[6, 0], [6, 4], [7, 1], [7, 5], [8, 2], [8, 3], [3, 4], [1, 4], [1, 3], [7, 6], [7, 8], [0, 2], [0, 5], [2, 5]]",76160000/3,"[[-1, -1, 0], [1, 1, -1], [-1, -1, 2], [1, -1, 1], [1, -1, -1], [-1, 1, 0], [0, -1, -1], [0, 2, -1], [0, -1, 2]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 2, 1]"
1352,10,24,3,44,310,"[[1, 0], [2, 0], [2, 1], [3, 0], [6, 1], [6, 5], [7, 3], [8, 2], [8, 4], [5, 7], [4, 7], [4, 5], [8, 3], [8, 6]]",190105600/3,"[[-1, -1, 0], [-1, -1, 1], [-1, 0, 0], [0, -1, -1], [1, 2, -1], [1, -1, 2], [0, -1, 2], [1, -1, -1], [0, 2, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 2]"
1354,10,23,2,44,308,"[[1, 0], [4, 2], [6, 5], [7, 3], [1, 5], [6, 0], [0, 7], [1, 4], [4, 5], [3, 6], [2, 6], [4, 7], [2, 3]]",17977600,"[[-1, -1, -1], [-1, -1, 0], [1, 0, 1], [1, 0, -1], [1, -1, 2], [-1, 1, 0], [-1, 2, -1], [1, -1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 2, 1, 2, 1]"
1356,10,25,4,44,312,"[[3, 0], [4, 2], [4, 3], [5, 0], [7, 5], [8, 1], [8, 3], [6, 7], [1, 7], [1, 6], [2, 6], [5, 8], [1, 4], [0, 2]]",327842100,"[[-1, -1, 0], [1, 2, -1], [-1, -1, 2], [-1, 0, 0], [-1, 0, 1], [0, -1, -1], [1, -1, 2], [1, -1, -1], [0, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 1, 1, 1, 1]"
1362,10,25,4,44,312,"[[2, 1], [3, 1], [3, 2], [5, 2], [5, 4], [6, 0], [6, 3], [4, 0], [0, 8], [4, 7], [7, 8], [5, 6], [1, 8], [1, 7]]",298415040,"[[-1, -1, -1], [1, 1, -1], [1, 0, 0], [1, 0, -1], [-1, -1, 3], [0, -1, 2], [0, -1, -1], [-1, 1, 1], [-1, 1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 1, 1, 1, 1]"
1372,10,25,4,44,312,"[[5, 1], [6, 0], [6, 4], [7, 5], [8, 7], [3, 0], [2, 3], [2, 4], [0, 7], [3, 8], [5, 6], [1, 4], [1, 2], [1, 8]]",424949760,"[[-1, -1, -1], [1, 1, 0], [1, -1, 2], [-1, -1, 2], [1, -1, 0], [0, 1, -1], [0, -1, -1], [-1, 1, -1], [-1, 1, 0]]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 1, 1, 1, 1, 1, 1]"
1376,10,24,3,44,310,"[[1, 0], [5, 4], [7, 6], [0, 4], [1, 5], [0, 7], [1, 6], [1, 2], [3, 4], [2, 5], [3, 7], [2, 6], [2, 3]]",69033984,"[[-1, -1, -1], [-1, -1, 0], [1, 1, 2], [1, 1, -1], [-1, 1, -1], [-1, 1, 0], [1, -1, 0], [1, -1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 2, 1, 1, 1, 1, 1]"
1378,10,24,3,44,310,"[[3, 0], [4, 2], [4, 3], [5, 0], [6, 1], [8, 2], [8, 7], [9, 5], [7, 9], [8, 5], [6, 9], [1, 7], [0, 2], [3, 6], [1, 4]]",138520800,"[[-1, 0, -1], [1, 1, 0], [-1, 0, 1], [-1, 1, -1], [-1, 1, 0], [0, -1, -1], [1, 1, -1], [1, -1, 2], [0, -1, 2], [1, -1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1380,10,26,5,44,314,"[[1, 0], [2, 0], [3, 1], [3, 2], [4, 0], [6, 1], [8, 6], [9, 4], [8, 9], [4, 6], [7, 9], [5, 8], [5, 7], [2, 7], [3, 5]]",1966995360,"[[-1, 0, -1], [-1, 0, 0], [-1, 1, -1], [-1, 1, 0], [0, -1, -1], [1, 1, 2], [0, -1, 1], [1, 1, -1], [1, -1, 2], [1, -1, -1]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
